son,orderdate,orderdatekey,pk,ck,stk,dateofshipping,soln,oquantity,freight,region
SO74181,2024-07-01,20190701,473,25807,7,2024-07-08,3,4,1.5875,France7
SO74176,2024-07-01,20190701,473,20144,8,2024-07-08,4,6,1.5875,Germany7
SO74176,2024-07-01,20190701,485,20144,8,2024-07-08,3,4,0.5495,Germany7
SO74176,2024-07-01,20190701,536,20144,8,2024-07-08,2,8,0.7498,Germany7
SO74179,2024-07-01,20190701,480,26980,8,2024-07-08,2,3,0.0573,Germany7
SO74179,2024-07-01,20190701,538,26980,8,2024-07-08,1,4,0.5373,Germany7
SO74174,2024-07-01,20190701,535,15060,7,2024-07-08,1,5,0.6248,France7
SO74176,2024-07-01,20190701,528,20144,8,2024-07-08,1,4,0.1248,Germany7
SO74167,2024-07-01,20190701,478,21696,1,2024-07-08,1,8,0.2498,Northwest7
SO74158,2024-07-01,20190701,529,11170,1,2024-07-08,1,8,0.0998,Northwest7
SO74159,2024-07-01,20190701,538,27532,1,2024-07-08,1,6,0.5373,Northwest7
SO74157,2024-07-01,20190701,214,11884,1,2024-07-08,1,8,0.8748,Northwest7
SO74148,2024-07-01,20190701,222,11786,1,2024-07-08,1,2,0.8748,Northwest7
SO74163,2024-07-01,20190701,535,26528,1,2024-07-08,1,1,0.6248,Northwest7
SO74178,2024-07-01,20190701,477,21825,8,2024-07-08,1,5,0.1248,Germany7
SO74206,2024-07-02,20190702,237,23485,6,2024-07-09,3,5,1.2498,Canada7
SO74204,2024-07-02,20190702,225,24255,6,2024-07-09,2,1,0.2248,Canada7
SO74206,2024-07-02,20190702,217,23485,6,2024-07-09,2,6,0.8748,Canada7
SO74201,2024-07-02,20190702,477,29282,6,2024-07-09,3,3,0.1248,Canada7
SO74199,2024-07-02,20190702,480,18320,6,2024-07-09,3,7,0.0573,Canada7
SO74200,2024-07-02,20190702,477,12055,6,2024-07-09,3,8,0.1248,Canada7
SO74201,2024-07-02,20190702,225,29282,6,2024-07-09,2,8,0.2248,Canada7
SO74196,2024-07-02,20190702,214,11276,6,2024-07-09,3,4,0.8748,Canada7
SO74200,2024-07-02,20190702,225,12055,6,2024-07-09,2,3,0.2248,Canada7
SO74206,2024-07-02,20190702,528,23485,6,2024-07-09,1,3,0.1248,Canada7
SO74196,2024-07-02,20190702,535,11276,6,2024-07-09,2,7,0.6248,Canada7
SO74192,2024-07-02,20190702,480,11276,6,2024-07-09,2,3,0.0573,Canada7
SO74205,2024-07-02,20190702,477,24967,6,2024-07-09,1,7,0.1248,Canada7
SO74204,2024-07-02,20190702,477,24255,6,2024-07-09,1,6,0.1248,Canada7
SO74201,2024-07-02,20190702,478,29282,6,2024-07-09,1,6,0.2498,Canada7
SO74200,2024-07-02,20190702,478,12055,6,2024-07-09,1,7,0.2498,Canada7
SO74199,2024-07-02,20190702,536,18320,6,2024-07-09,1,2,0.7498,Canada7
SO74199,2024-07-02,20190702,528,18320,6,2024-07-09,2,6,0.1248,Canada7
SO74190,2024-07-02,20190702,487,16342,9,2024-07-09,3,8,1.3748,Australia7
SO74193,2024-07-02,20190702,214,27372,5,2024-07-09,2,3,0.8748,Southeast7
SO74186,2024-07-02,20190702,535,13023,9,2024-07-09,2,4,0.6248,Australia7
SO74196,2024-07-02,20190702,528,11276,6,2024-07-09,1,5,0.1248,Canada7
SO74193,2024-07-02,20190702,529,27372,5,2024-07-09,1,1,0.0998,Southeast7
SO74211,2024-07-02,20190702,222,17706,10,2024-07-09,2,8,0.8748,United Kingdom7
SO74211,2024-07-02,20190702,530,17706,10,2024-07-09,1,6,0.1248,United Kingdom7
SO74208,2024-07-02,20190702,480,24533,10,2024-07-09,2,1,0.0573,United Kingdom7
SO74208,2024-07-02,20190702,536,24533,10,2024-07-09,1,4,0.7498,United Kingdom7
SO74207,2024-07-02,20190702,487,14533,10,2024-07-09,3,2,1.3748,United Kingdom7
SO74207,2024-07-02,20190702,540,14533,10,2024-07-09,2,2,0.815,United Kingdom7
SO74190,2024-07-02,20190702,484,16342,9,2024-07-09,4,2,0.1988,Australia7
SO74207,2024-07-02,20190702,529,14533,10,2024-07-09,1,7,0.0998,United Kingdom7
SO74189,2024-07-02,20190702,475,22149,9,2024-07-09,1,2,1.7498,Australia7
SO74188,2024-07-02,20190702,528,25117,9,2024-07-09,1,6,0.1248,Australia7
SO74187,2024-07-02,20190702,538,19597,9,2024-07-09,1,2,0.5373,Australia7
SO74186,2024-07-02,20190702,528,13023,9,2024-07-09,1,7,0.1248,Australia7
SO74190,2024-07-02,20190702,530,16342,9,2024-07-09,2,5,0.1248,Australia7
SO74189,2024-07-02,20190702,491,22149,9,2024-07-09,2,5,1.3498,Australia7
SO74188,2024-07-02,20190702,480,25117,9,2024-07-09,2,8,0.0573,Australia7
SO74187,2024-07-02,20190702,529,19597,9,2024-07-09,2,8,0.0998,Australia7
SO74190,2024-07-02,20190702,541,16342,9,2024-07-09,1,4,0.7248,Australia7
SO74194,2024-07-02,20190702,237,11530,6,2024-07-09,1,5,1.2498,Canada7
SO74210,2024-07-02,20190702,541,23913,7,2024-07-09,1,7,0.7248,France7
SO74198,2024-07-02,20190702,535,25934,4,2024-07-09,1,5,0.6248,Southwest7
SO74212,2024-07-02,20190702,477,11133,1,2024-07-09,4,1,0.1248,Northwest7
SO74215,2024-07-02,20190702,490,13390,4,2024-07-09,5,2,1.3498,Southwest7
SO74215,2024-07-02,20190702,225,13390,4,2024-07-09,4,4,0.2248,Southwest7
SO74215,2024-07-02,20190702,478,13390,4,2024-07-09,3,8,0.2498,Southwest7
SO74203,2024-07-02,20190702,217,20490,4,2024-07-09,3,1,0.8748,Southwest7
SO74197,2024-07-02,20190702,217,25838,4,2024-07-09,3,5,0.8748,Southwest7
SO74215,2024-07-02,20190702,477,13390,4,2024-07-09,2,3,0.1248,Southwest7
SO74203,2024-07-02,20190702,477,20490,4,2024-07-09,2,4,0.1248,Southwest7
SO74198,2024-07-02,20190702,528,25934,4,2024-07-09,2,1,0.1248,Southwest7
SO74197,2024-07-02,20190702,528,25838,4,2024-07-09,2,3,0.1248,Southwest7
SO74214,2024-07-02,20190702,480,12205,4,2024-07-09,2,2,0.0573,Southwest7
SO74203,2024-07-02,20190702,478,20490,4,2024-07-09,1,4,0.2498,Southwest7
SO74214,2024-07-02,20190702,537,12205,4,2024-07-09,1,3,0.875,Southwest7
SO74215,2024-07-02,20190702,485,13390,4,2024-07-09,1,4,0.5495,Southwest7
SO74191,2024-07-02,20190702,490,11715,4,2024-07-09,1,5,1.3498,Southwest7
SO74192,2024-07-02,20190702,529,11276,6,2024-07-09,1,7,0.0998,Canada7
SO74197,2024-07-02,20190702,535,25838,4,2024-07-09,1,1,0.6248,Southwest7
SO74216,2024-07-02,20190702,222,13321,1,2024-07-09,4,2,0.8748,Northwest7
SO74212,2024-07-02,20190702,478,11133,1,2024-07-09,3,5,0.2498,Northwest7
SO74198,2024-07-02,20190702,222,25934,4,2024-07-09,3,5,0.8748,Southwest7
SO74216,2024-07-02,20190702,477,13321,1,2024-07-09,3,4,0.1248,Northwest7
SO74210,2024-07-02,20190702,530,23913,7,2024-07-09,2,3,0.1248,France7
SO74195,2024-07-02,20190702,480,27629,1,2024-07-09,3,3,0.0573,Northwest7
SO74210,2024-07-02,20190702,477,23913,7,2024-07-09,4,4,0.1248,France7
SO74209,2024-07-02,20190702,214,22809,8,2024-07-09,2,8,0.8748,Germany7
SO74213,2024-07-02,20190702,480,13797,8,2024-07-09,2,8,0.0573,Germany7
SO74209,2024-07-02,20190702,529,22809,8,2024-07-09,1,4,0.0998,Germany7
SO74218,2024-07-02,20190702,222,11595,8,2024-07-09,1,6,0.8748,Germany7
SO74217,2024-07-02,20190702,225,12478,8,2024-07-09,1,3,0.2248,Germany7
SO74213,2024-07-02,20190702,530,13797,8,2024-07-09,1,4,0.1248,Germany7
SO74210,2024-07-02,20190702,479,23913,7,2024-07-09,3,7,0.2248,France7
SO74202,2024-07-02,20190702,478,21278,1,2024-07-09,1,1,0.2498,Northwest7
SO74216,2024-07-02,20190702,485,13321,1,2024-07-09,1,3,0.5495,Northwest7
SO74212,2024-07-02,20190702,485,11133,1,2024-07-09,2,5,0.5495,Northwest7
SO74195,2024-07-02,20190702,530,27629,1,2024-07-09,2,4,0.1248,Northwest7
SO74202,2024-07-02,20190702,477,21278,1,2024-07-09,2,1,0.1248,Northwest7
SO74216,2024-07-02,20190702,478,13321,1,2024-07-09,2,4,0.2498,Northwest7
SO74195,2024-07-02,20190702,541,27629,1,2024-07-09,1,4,0.7248,Northwest7
SO74212,2024-07-02,20190702,537,11133,1,2024-07-09,1,6,0.875,Northwest7
SO74185,2024-07-02,20190702,484,12148,1,2024-07-09,1,3,0.1988,Northwest7
SO74223,2024-07-03,20190703,477,28946,9,2024-07-10,3,5,0.1248,Australia7
SO74219,2024-07-03,20190703,485,22978,9,2024-07-10,1,2,0.5495,Australia7
SO74223,2024-07-03,20190703,225,28946,9,2024-07-10,2,5,0.2248,Australia7
SO74222,2024-07-03,20190703,480,26565,9,2024-07-10,2,3,0.0573,Australia7
SO74221,2024-07-03,20190703,528,21185,9,2024-07-10,2,8,0.1248,Australia7
SO74220,2024-07-03,20190703,537,21954,9,2024-07-10,1,8,0.875,Australia7
SO74219,2024-07-03,20190703,222,22978,9,2024-07-10,2,4,0.8748,Australia7
SO74219,2024-07-03,20190703,467,22978,9,2024-07-10,3,6,0.6123,Australia7
SO74250,2024-07-03,20190703,237,18812,6,2024-07-10,3,2,1.2498,Canada7
SO74245,2024-07-03,20190703,471,11185,6,2024-07-10,4,8,1.5875,Canada7
SO74234,2024-07-03,20190703,222,20330,6,2024-07-10,4,6,0.8748,Canada7
SO74245,2024-07-03,20190703,214,11185,6,2024-07-10,3,3,0.8748,Canada7
SO74234,2024-07-03,20190703,477,20330,6,2024-07-10,3,2,0.1248,Canada7
SO74228,2024-07-03,20190703,217,13071,6,2024-07-10,3,7,0.8748,Canada7
SO74226,2024-07-03,20190703,228,11300,6,2024-07-10,3,6,1.2498,Canada7
SO74221,2024-07-03,20190703,537,21185,9,2024-07-10,1,7,0.875,Australia7
SO74250,2024-07-03,20190703,225,18812,6,2024-07-10,4,1,0.2248,Canada7
SO74244,2024-07-03,20190703,217,12740,10,2024-07-10,3,3,0.8748,United Kingdom7
SO74250,2024-07-03,20190703,217,18812,6,2024-07-10,2,3,0.8748,Canada7
SO74223,2024-07-03,20190703,478,28946,9,2024-07-10,1,2,0.2498,Australia7
SO74244,2024-07-03,20190703,530,12740,10,2024-07-10,2,1,0.1248,United Kingdom7
SO74244,2024-07-03,20190703,541,12740,10,2024-07-10,1,6,0.7248,United Kingdom7
SO74242,2024-07-03,20190703,222,20904,10,2024-07-10,3,8,0.8748,United Kingdom7
SO74242,2024-07-03,20190703,536,20904,10,2024-07-10,2,7,0.7498,United Kingdom7
SO74242,2024-07-03,20190703,528,20904,10,2024-07-10,1,4,0.1248,United Kingdom7
SO74240,2024-07-03,20190703,480,13804,10,2024-07-10,2,3,0.0573,United Kingdom7
SO74240,2024-07-03,20190703,539,13804,10,2024-07-10,1,3,0.6248,United Kingdom7
SO74222,2024-07-03,20190703,538,26565,9,2024-07-10,1,1,0.5373,Australia7
SO74238,2024-07-03,20190703,537,14988,10,2024-07-10,1,2,0.875,United Kingdom7
SO74237,2024-07-03,20190703,222,15444,10,2024-07-10,3,1,0.8748,United Kingdom7
SO74237,2024-07-03,20190703,537,15444,10,2024-07-10,2,3,0.875,United Kingdom7
SO74237,2024-07-03,20190703,528,15444,10,2024-07-10,1,8,0.1248,United Kingdom7
SO74236,2024-07-03,20190703,480,16321,10,2024-07-10,2,5,0.0573,United Kingdom7
SO74236,2024-07-03,20190703,528,16321,10,2024-07-10,1,8,0.1248,United Kingdom7
SO74225,2024-07-03,20190703,225,18283,9,2024-07-10,1,2,0.2248,Australia7
SO74224,2024-07-03,20190703,484,11749,9,2024-07-10,1,5,0.1988,Australia7
SO74237,2024-07-03,20190703,225,15444,10,2024-07-10,4,6,0.2248,United Kingdom7
SO74249,2024-07-03,20190703,480,19223,6,2024-07-10,2,7,0.0573,Canada7
SO74235,2024-07-03,20190703,528,15629,8,2024-07-10,1,2,0.1248,Germany7
SO74234,2024-07-03,20190703,478,20330,6,2024-07-10,2,6,0.2498,Canada7
SO74251,2024-07-03,20190703,537,11856,1,2024-07-10,1,3,0.875,Northwest7
SO74248,2024-07-03,20190703,537,11801,1,2024-07-10,1,8,0.875,Northwest7
SO74247,2024-07-03,20190703,537,12145,1,2024-07-10,1,2,0.875,Northwest7
SO74227,2024-07-03,20190703,539,29036,1,2024-07-10,1,6,0.6248,Northwest7
SO74251,2024-07-03,20190703,528,11856,1,2024-07-10,2,8,0.1248,Northwest7
SO74247,2024-07-03,20190703,528,12145,1,2024-07-10,2,6,0.1248,Northwest7
SO74232,2024-07-03,20190703,217,14402,1,2024-07-10,2,1,0.8748,Northwest7
SO74232,2024-07-03,20190703,528,14402,1,2024-07-10,1,6,0.1248,Northwest7
SO74248,2024-07-03,20190703,480,11801,1,2024-07-10,2,3,0.0573,Northwest7
SO74247,2024-07-03,20190703,222,12145,1,2024-07-10,3,6,0.8748,Northwest7
SO74247,2024-07-03,20190703,228,12145,1,2024-07-10,4,3,1.2498,Northwest7
SO74246,2024-07-03,20190703,528,11138,4,2024-07-10,2,8,0.1248,Southwest7
SO74229,2024-07-03,20190703,237,18891,4,2024-07-10,2,1,1.2498,Southwest7
SO74246,2024-07-03,20190703,537,11138,4,2024-07-10,1,7,0.875,Southwest7
SO74229,2024-07-03,20190703,476,18891,4,2024-07-10,1,2,1.7498,Southwest7
SO74245,2024-07-03,20190703,485,11185,6,2024-07-10,2,8,0.5495,Canada7
SO74227,2024-07-03,20190703,228,29036,1,2024-07-10,2,2,1.2498,Northwest7
SO74230,2024-07-03,20190703,477,16757,1,2024-07-10,1,8,0.1248,Northwest7
SO74251,2024-07-03,20190703,217,11856,1,2024-07-10,3,3,0.8748,Northwest7
SO74252,2024-07-03,20190703,225,12646,8,2024-07-10,1,8,0.2248,Germany7
SO74241,2024-07-03,20190703,536,20168,8,2024-07-10,1,4,0.7498,Germany7
SO74231,2024-07-03,20190703,491,26461,6,2024-07-10,2,8,1.3498,Canada7
SO74228,2024-07-03,20190703,477,13071,6,2024-07-10,2,3,0.1248,Canada7
SO74226,2024-07-03,20190703,487,11300,6,2024-07-10,2,4,1.3748,Canada7
SO74249,2024-07-03,20190703,485,19223,6,2024-07-10,1,1,0.5495,Canada7
SO74245,2024-07-03,20190703,537,11185,6,2024-07-10,1,7,0.875,Canada7
SO74234,2024-07-03,20190703,485,20330,6,2024-07-10,1,5,0.5495,Canada7
SO74233,2024-07-03,20190703,485,20508,6,2024-07-10,1,3,0.5495,Canada7
SO74250,2024-07-03,20190703,485,18812,6,2024-07-10,1,8,0.5495,Canada7
SO74228,2024-07-03,20190703,478,13071,6,2024-07-10,1,5,0.2498,Canada7
SO74226,2024-07-03,20190703,530,11300,6,2024-07-10,1,8,0.1248,Canada7
SO74239,2024-07-03,20190703,475,28457,7,2024-07-10,1,5,1.7498,France7
SO74235,2024-07-03,20190703,217,15629,8,2024-07-10,2,4,0.8748,Germany7
SO74243,2024-07-03,20190703,480,24097,8,2024-07-10,2,5,0.0573,Germany7
SO74241,2024-07-03,20190703,480,20168,8,2024-07-10,2,3,0.0573,Germany7
SO74231,2024-07-03,20190703,477,26461,6,2024-07-10,1,6,0.1248,Canada7
SO74243,2024-07-03,20190703,529,24097,8,2024-07-10,1,4,0.0998,Germany7
SO74256,2024-07-04,20190704,528,17250,9,2024-07-11,2,8,0.1248,Australia7
SO74253,2024-07-04,20190704,528,11051,9,2024-07-11,2,6,0.1248,Australia7
SO74260,2024-07-04,20190704,480,16486,9,2024-07-11,3,4,0.0573,Australia7
SO74253,2024-07-04,20190704,222,11051,9,2024-07-11,3,2,0.8748,Australia7
SO74272,2024-07-04,20190704,528,11142,6,2024-07-11,2,3,0.1248,Canada7
SO74276,2024-07-04,20190704,222,17491,6,2024-07-11,2,7,0.8748,Canada7
SO74268,2024-07-04,20190704,480,21925,6,2024-07-11,2,4,0.0573,Canada7
SO74258,2024-07-04,20190704,480,18304,9,2024-07-11,2,2,0.0573,Australia7
SO74276,2024-07-04,20190704,485,17491,6,2024-07-11,1,5,0.5495,Canada7
SO74272,2024-07-04,20190704,214,11142,6,2024-07-11,3,4,0.8748,Canada7
SO74259,2024-07-04,20190704,489,26772,9,2024-07-11,2,1,1.3498,Australia7
SO74260,2024-07-04,20190704,541,16486,9,2024-07-11,1,1,0.7248,Australia7
SO74253,2024-07-04,20190704,535,11051,9,2024-07-11,1,1,0.6248,Australia7
SO74254,2024-07-04,20190704,535,11079,9,2024-07-11,1,2,0.6248,Australia7
SO74255,2024-07-04,20190704,539,15154,9,2024-07-11,1,8,0.6248,Australia7
SO74256,2024-07-04,20190704,536,17250,9,2024-07-11,1,7,0.7498,Australia7
SO74257,2024-07-04,20190704,485,19091,9,2024-07-11,1,3,0.5495,Australia7
SO74258,2024-07-04,20190704,485,18304,9,2024-07-11,1,7,0.5495,Australia7
SO74259,2024-07-04,20190704,476,26772,9,2024-07-11,1,8,1.7498,Australia7
SO74269,2024-07-04,20190704,475,14546,10,2024-07-11,1,1,1.7498,United Kingdom7
SO74269,2024-07-04,20190704,491,14546,10,2024-07-11,2,5,1.3498,United Kingdom7
SO74270,2024-07-04,20190704,477,23768,10,2024-07-11,1,4,0.1248,United Kingdom7
SO74270,2024-07-04,20190704,465,23768,10,2024-07-11,2,4,0.6123,United Kingdom7
SO74272,2024-07-04,20190704,537,11142,6,2024-07-11,1,3,0.875,Canada7
SO74260,2024-07-04,20190704,530,16486,9,2024-07-11,2,4,0.1248,Australia7
SO74268,2024-07-04,20190704,528,21925,6,2024-07-11,1,8,0.1248,Canada7
SO74271,2024-07-04,20190704,217,12606,7,2024-07-11,2,3,0.8748,France7
SO74274,2024-07-04,20190704,530,28917,7,2024-07-11,1,8,0.1248,France7
SO74275,2024-07-04,20190704,477,11383,7,2024-07-11,1,4,0.1248,France7
SO74265,2024-07-04,20190704,528,22105,4,2024-07-11,1,3,0.1248,Southwest7
SO74262,2024-07-04,20190704,530,28258,4,2024-07-11,1,2,0.1248,Southwest7
SO74261,2024-07-04,20190704,222,11733,4,2024-07-11,1,1,0.8748,Southwest7
SO74262,2024-07-04,20190704,480,28258,4,2024-07-11,2,7,0.0573,Southwest7
SO74265,2024-07-04,20190704,536,22105,4,2024-07-11,2,5,0.7498,Southwest7
SO74265,2024-07-04,20190704,484,22105,4,2024-07-11,4,4,0.1988,Southwest7
SO74267,2024-07-04,20190704,225,16368,1,2024-07-11,4,6,0.2248,Northwest7
SO74267,2024-07-04,20190704,228,16368,1,2024-07-11,3,1,1.2498,Northwest7
SO74263,2024-07-04,20190704,483,25189,1,2024-07-11,2,4,3,Northwest7
SO74264,2024-07-04,20190704,480,22187,1,2024-07-11,2,6,0.0573,Northwest7
SO74267,2024-07-04,20190704,217,16368,1,2024-07-11,2,5,0.8748,Northwest7
SO74265,2024-07-04,20190704,480,22105,4,2024-07-11,3,6,0.0573,Southwest7
SO74263,2024-07-04,20190704,540,25189,1,2024-07-11,1,1,0.815,Northwest7
SO74273,2024-07-04,20190704,530,25570,7,2024-07-11,1,5,0.1248,France7
SO74266,2024-07-04,20190704,475,20757,1,2024-07-11,1,7,1.7498,Northwest7
SO74271,2024-07-04,20190704,529,12606,7,2024-07-11,1,2,0.0998,France7
SO74275,2024-07-04,20190704,479,11383,7,2024-07-11,2,2,0.2248,France7
SO74273,2024-07-04,20190704,465,25570,7,2024-07-11,2,2,0.6123,France7
SO74274,2024-07-04,20190704,487,28917,7,2024-07-11,2,5,1.3748,France7
SO74271,2024-07-04,20190704,225,12606,7,2024-07-11,3,3,0.2248,France7
SO74274,2024-07-04,20190704,463,28917,7,2024-07-11,3,1,0.6123,France7
SO74267,2024-07-04,20190704,477,16368,1,2024-07-11,1,4,0.1248,Northwest7
SO74264,2024-07-04,20190704,536,22187,1,2024-07-11,1,4,0.7498,Northwest7
SO74275,2024-07-04,20190704,214,11383,7,2024-07-11,3,8,0.8748,France7
SO74287,2024-07-05,20190705,222,17867,6,2024-07-12,3,3,0.8748,Canada7
SO74287,2024-07-05,20190705,536,17867,6,2024-07-12,2,5,0.7498,Canada7
SO74292,2024-07-05,20190705,480,28245,6,2024-07-12,2,4,0.0573,Canada7
SO74291,2024-07-05,20190705,473,25101,6,2024-07-12,2,1,1.5875,Canada7
SO74290,2024-07-05,20190705,237,12795,6,2024-07-12,2,3,1.2498,Canada7
SO74303,2024-07-05,20190705,225,24145,10,2024-07-12,2,2,0.2248,United Kingdom7
SO74305,2024-07-05,20190705,541,22624,7,2024-07-12,1,8,0.7248,France7
SO74291,2024-07-05,20190705,477,25101,6,2024-07-12,1,6,0.1248,Canada7
SO74290,2024-07-05,20190705,476,12795,6,2024-07-12,1,3,1.7498,Canada7
SO74287,2024-07-05,20190705,528,17867,6,2024-07-12,1,8,0.1248,Canada7
SO74302,2024-07-05,20190705,538,21113,7,2024-07-12,1,3,0.5373,France7
SO74287,2024-07-05,20190705,237,17867,6,2024-07-12,4,5,1.2498,Canada7
SO74292,2024-07-05,20190705,528,28245,6,2024-07-12,1,5,0.1248,Canada7
SO74279,2024-07-05,20190705,473,11115,9,2024-07-12,3,8,1.5875,Australia7
SO74299,2024-07-05,20190705,480,14999,10,2024-07-12,3,3,0.0573,United Kingdom7
SO74278,2024-07-05,20190705,490,27516,9,2024-07-12,2,4,1.3498,Australia7
SO74279,2024-07-05,20190705,478,11115,9,2024-07-12,2,2,0.2498,Australia7
SO74277,2024-07-05,20190705,485,16930,9,2024-07-12,1,8,0.5495,Australia7
SO74278,2024-07-05,20190705,475,27516,9,2024-07-12,1,6,1.7498,Australia7
SO74279,2024-07-05,20190705,477,11115,9,2024-07-12,1,4,0.1248,Australia7
SO74280,2024-07-05,20190705,484,11467,9,2024-07-12,1,2,0.1988,Australia7
