son,orderdate,orderdatekey,pk,ck,stk,dateofshipping,soln,oquantity,freight,region
SO69569,2024-05-01,20190501,528,16030,9,2024-05-08,2,4,0.1248,Australia5
SO69588,2024-05-01,20190501,217,12984,6,2024-05-08,3,1,0.8748,Canada5
SO69610,2024-05-01,20190501,538,12545,10,2024-05-08,1,1,0.5373,United Kingdom5
SO69582,2024-05-01,20190501,582,26827,7,2024-05-08,1,8,42.5248,France5
SO69611,2024-05-01,20190501,530,13539,10,2024-05-08,2,1,0.1248,United Kingdom5
SO69632,2024-05-01,20190501,477,25707,9,2024-05-08,2,8,0.1248,Australia5
SO69581,2024-05-01,20190501,485,15665,7,2024-05-08,2,2,0.5495,France5
SO69582,2024-05-01,20190501,237,26827,7,2024-05-08,2,2,1.2498,France5
SO69607,2024-05-01,20190501,490,23595,7,2024-05-08,2,8,1.3498,France5
SO69648,2024-05-01,20190501,479,23991,7,2024-05-08,2,3,0.2248,France5
SO69650,2024-05-01,20190501,479,24023,7,2024-05-08,2,7,0.2248,France5
SO69624,2024-05-01,20190501,222,11241,7,2024-05-08,2,5,0.8748,France5
SO69624,2024-05-01,20190501,563,11241,7,2024-05-08,1,3,59.6018,France5
SO69578,2024-05-01,20190501,355,12820,7,2024-05-08,1,6,57.9998,France5
SO69579,2024-05-01,20190501,355,12819,7,2024-05-08,1,6,57.9998,France5
SO69581,2024-05-01,20190501,591,15665,7,2024-05-08,1,6,14.1248,France5
SO69644,2024-05-01,20190501,390,25546,10,2024-05-08,1,7,28.0123,United Kingdom5
SO69609,2024-05-01,20190501,538,21677,7,2024-05-08,1,3,0.5373,France5
SO69650,2024-05-01,20190501,605,24023,7,2024-05-08,1,1,13.4998,France5
SO69607,2024-05-01,20190501,477,23595,7,2024-05-08,1,5,0.1248,France5
SO69610,2024-05-01,20190501,225,12545,10,2024-05-08,4,7,0.2248,United Kingdom5
SO69644,2024-05-01,20190501,225,25546,10,2024-05-08,3,8,0.2248,United Kingdom5
SO69611,2024-05-01,20190501,217,13539,10,2024-05-08,3,7,0.8748,United Kingdom5
SO69610,2024-05-01,20190501,222,12545,10,2024-05-08,3,8,0.8748,United Kingdom5
SO69647,2024-05-01,20190501,477,28399,10,2024-05-08,3,1,0.1248,United Kingdom5
SO69610,2024-05-01,20190501,529,12545,10,2024-05-08,2,4,0.0998,United Kingdom5
SO69644,2024-05-01,20190501,231,25546,10,2024-05-08,2,7,1.2498,United Kingdom5
SO69649,2024-05-01,20190501,225,12305,10,2024-05-08,2,2,0.2248,United Kingdom5
SO69647,2024-05-01,20190501,479,28399,10,2024-05-08,2,6,0.2248,United Kingdom5
SO69648,2024-05-01,20190501,584,23991,7,2024-05-08,1,1,13.4998,France5
SO69630,2024-05-01,20190501,479,15647,9,2024-05-08,2,1,0.2248,Australia5
SO69658,2024-05-01,20190501,576,13625,9,2024-05-08,1,7,59.6018,Australia5
SO69568,2024-05-01,20190501,535,12357,9,2024-05-08,2,3,0.6248,Australia5
SO69570,2024-05-01,20190501,538,18450,9,2024-05-08,1,1,0.5373,Australia5
SO69653,2024-05-01,20190501,571,11046,9,2024-05-08,1,6,18.5588,Australia5
SO69654,2024-05-01,20190501,586,11357,9,2024-05-08,1,5,18.5588,Australia5
SO69574,2024-05-01,20190501,225,18258,9,2024-05-08,1,8,0.2248,Australia5
SO69569,2024-05-01,20190501,536,16030,9,2024-05-08,1,2,0.7498,Australia5
SO69628,2024-05-01,20190501,580,24463,9,2024-05-08,1,6,42.5248,Australia5
SO69629,2024-05-01,20190501,581,22004,9,2024-05-08,1,6,42.5248,Australia5
SO69630,2024-05-01,20190501,583,15647,9,2024-05-08,1,6,42.5248,Australia5
SO69567,2024-05-01,20190501,535,14100,9,2024-05-08,1,7,0.6248,Australia5
SO69625,2024-05-01,20190501,384,26433,9,2024-05-08,1,5,28.0123,Australia5
SO69626,2024-05-01,20190501,384,18334,9,2024-05-08,1,8,28.0123,Australia5
SO69634,2024-05-01,20190501,590,15265,9,2024-05-08,1,2,19.2373,Australia5
SO69655,2024-05-01,20190501,563,13123,9,2024-05-08,1,1,59.6018,Australia5
SO69632,2024-05-01,20190501,606,25707,9,2024-05-08,1,7,13.4998,Australia5
SO69571,2024-05-01,20190501,477,23419,9,2024-05-08,1,1,0.1248,Australia5
SO69568,2024-05-01,20190501,528,12357,9,2024-05-08,1,4,0.1248,Australia5
SO69627,2024-05-01,20190501,374,21999,9,2024-05-08,1,3,61.0838,Australia5
SO69577,2024-05-01,20190501,357,12850,8,2024-05-08,1,3,57.9998,Germany5
SO69618,2024-05-01,20190501,357,17439,1,2024-05-08,1,1,57.9998,Northwest5
SO69631,2024-05-01,20190501,384,27494,9,2024-05-08,1,4,28.0123,Australia5
SO69633,2024-05-01,20190501,590,17295,9,2024-05-08,1,2,19.2373,Australia5
SO69647,2024-05-01,20190501,606,28399,10,2024-05-08,1,3,13.4998,United Kingdom5
SO69604,2024-05-01,20190501,480,14625,1,2024-05-08,2,5,0.0573,Northwest5
SO69579,2024-05-01,20190501,478,12819,7,2024-05-08,2,4,0.2498,France5
SO69656,2024-05-01,20190501,562,13133,9,2024-05-08,1,1,59.6018,Australia5
SO69631,2024-05-01,20190501,479,27494,9,2024-05-08,2,6,0.2248,Australia5
SO69572,2024-05-01,20190501,228,11045,9,2024-05-08,1,6,1.2498,Australia5
SO69631,2024-05-01,20190501,222,27494,9,2024-05-08,4,1,0.8748,Australia5
SO69573,2024-05-01,20190501,484,18743,9,2024-05-08,2,1,0.1988,Australia5
SO69634,2024-05-01,20190501,476,15265,9,2024-05-08,2,3,1.7498,Australia5
SO69653,2024-05-01,20190501,465,11046,9,2024-05-08,2,2,0.6123,Australia5
SO69633,2024-05-01,20190501,478,17295,9,2024-05-08,2,4,0.2498,Australia5
SO69567,2024-05-01,20190501,480,14100,9,2024-05-08,2,8,0.0573,Australia5
SO69570,2024-05-01,20190501,529,18450,9,2024-05-08,2,3,0.0998,Australia5
SO69571,2024-05-01,20190501,222,23419,9,2024-05-08,2,1,0.8748,Australia5
SO69627,2024-05-01,20190501,222,21999,9,2024-05-08,2,2,0.8748,Australia5
SO69629,2024-05-01,20190501,222,22004,9,2024-05-08,2,5,0.8748,Australia5
SO69658,2024-05-01,20190501,222,13625,9,2024-05-08,2,6,0.8748,Australia5
SO69656,2024-05-01,20190501,214,13133,9,2024-05-08,2,1,0.8748,Australia5
SO69573,2024-05-01,20190501,480,18743,9,2024-05-08,1,5,0.0573,Australia5
SO69628,2024-05-01,20190501,217,24463,9,2024-05-08,2,3,0.8748,Australia5
SO69633,2024-05-01,20190501,222,17295,9,2024-05-08,3,3,0.8748,Australia5
SO69568,2024-05-01,20190501,214,12357,9,2024-05-08,3,6,0.8748,Australia5
SO69653,2024-05-01,20190501,214,11046,9,2024-05-08,3,8,0.8748,Australia5
SO69632,2024-05-01,20190501,479,25707,9,2024-05-08,3,6,0.2248,Australia5
SO69634,2024-05-01,20190501,225,15265,9,2024-05-08,3,8,0.2248,Australia5
SO69658,2024-05-01,20190501,490,13625,9,2024-05-08,3,4,1.3498,Australia5
SO69569,2024-05-01,20190501,480,16030,9,2024-05-08,3,7,0.0573,Australia5
SO69630,2024-05-01,20190501,477,15647,9,2024-05-08,3,8,0.1248,Australia5
SO69631,2024-05-01,20190501,477,27494,9,2024-05-08,3,1,0.1248,Australia5
SO69632,2024-05-01,20190501,225,25707,9,2024-05-08,4,4,0.2248,Australia5
SO69568,2024-05-01,20190501,465,12357,9,2024-05-08,4,6,0.6123,Australia5
SO69655,2024-05-01,20190501,217,13123,9,2024-05-08,2,3,0.8748,Australia5
SO69578,2024-05-01,20190501,478,12820,7,2024-05-08,2,3,0.2498,France5
SO69613,2024-05-01,20190501,530,14142,8,2024-05-08,1,3,0.1248,Germany5
SO69579,2024-05-01,20190501,477,12819,7,2024-05-08,3,6,0.1248,France5
SO69623,2024-05-01,20190501,528,17157,4,2024-05-08,2,7,0.1248,Southwest5
SO69616,2024-05-01,20190501,477,20644,4,2024-05-08,2,4,0.1248,Southwest5
SO69641,2024-05-01,20190501,477,18564,4,2024-05-08,3,5,0.1248,Southwest5
SO69616,2024-05-01,20190501,479,20644,4,2024-05-08,3,6,0.2248,Southwest5
SO69622,2024-05-01,20190501,237,17003,4,2024-05-08,3,5,1.2498,Southwest5
SO69617,2024-05-01,20190501,537,17555,4,2024-05-08,3,1,0.875,Southwest5
SO69621,2024-05-01,20190501,491,17416,4,2024-05-08,3,5,1.3498,Southwest5
SO69623,2024-05-01,20190501,537,17157,4,2024-05-08,3,5,0.875,Southwest5
SO69601,2024-05-01,20190501,484,18076,4,2024-05-08,3,3,0.1988,Southwest5
SO69617,2024-05-01,20190501,471,17555,4,2024-05-08,4,1,1.5875,Southwest5
SO69622,2024-05-01,20190501,465,17003,4,2024-05-08,4,5,0.6123,Southwest5
SO69594,2024-05-01,20190501,486,26043,1,2024-05-08,4,3,3.975,Northwest5
SO69596,2024-05-01,20190501,486,22773,1,2024-05-08,4,1,3.975,Northwest5
SO69596,2024-05-01,20190501,485,22773,1,2024-05-08,3,2,0.5495,Northwest5
SO69594,2024-05-01,20190501,480,26043,1,2024-05-08,3,7,0.0573,Northwest5
SO69592,2024-05-01,20190501,214,25424,1,2024-05-08,3,4,0.8748,Northwest5
SO69615,2024-05-01,20190501,214,13272,1,2024-05-08,3,6,0.8748,Northwest5
SO69592,2024-05-01,20190501,540,25424,1,2024-05-08,2,3,0.815,Northwest5
SO69602,2024-05-01,20190501,484,17527,1,2024-05-08,2,3,0.1988,Northwest5
SO69615,2024-05-01,20190501,467,13272,1,2024-05-08,2,8,0.6123,Northwest5
SO69596,2024-05-01,20190501,536,22773,1,2024-05-08,2,4,0.7498,Northwest5
SO69614,2024-05-01,20190501,480,11219,1,2024-05-08,2,8,0.0573,Northwest5
SO69618,2024-05-01,20190501,485,17439,1,2024-05-08,2,3,0.5495,Northwest5
SO69617,2024-05-01,20190501,528,17555,4,2024-05-08,2,6,0.1248,Southwest5
SO69638,2024-05-01,20190501,214,24942,4,2024-05-08,2,5,0.8748,Southwest5
SO69637,2024-05-01,20190501,214,27541,4,2024-05-08,2,2,0.8748,Southwest5
SO69584,2024-05-01,20190501,217,29161,4,2024-05-08,2,2,0.8748,Southwest5
SO69601,2024-05-01,20190501,477,18076,4,2024-05-08,1,8,0.1248,Southwest5
SO69637,2024-05-01,20190501,575,27541,4,2024-05-08,1,7,59.6018,Southwest5
SO69638,2024-05-01,20190501,573,24942,4,2024-05-08,1,2,59.6018,Southwest5
SO69639,2024-05-01,20190501,563,27641,4,2024-05-08,1,8,59.6018,Southwest5
SO69621,2024-05-01,20190501,359,17416,4,2024-05-08,1,2,57.3748,Southwest5
SO69619,2024-05-01,20190501,361,13402,4,2024-05-08,1,6,57.3748,Southwest5
SO69620,2024-05-01,20190501,361,17415,4,2024-05-08,1,6,57.3748,Southwest5
SO69623,2024-05-01,20190501,361,17157,4,2024-05-08,1,6,57.3748,Southwest5
SO69617,2024-05-01,20190501,355,17555,4,2024-05-08,1,3,57.9998,Southwest5
SO69622,2024-05-01,20190501,357,17003,4,2024-05-08,1,8,57.9998,Southwest5
SO69641,2024-05-01,20190501,581,18564,4,2024-05-08,1,1,42.5248,Southwest5
SO69586,2024-05-01,20190501,222,28576,1,2024-05-08,2,8,0.8748,Northwest5
SO69566,2024-05-01,20190501,479,12708,4,2024-05-08,1,4,0.2248,Southwest5
SO69636,2024-05-01,20190501,578,26015,4,2024-05-08,1,4,30.3713,Southwest5
SO69598,2024-05-01,20190501,478,21399,4,2024-05-08,1,6,0.2498,Southwest5
SO69583,2024-05-01,20190501,529,11049,4,2024-05-08,1,5,0.0998,Southwest5
SO69584,2024-05-01,20190501,529,29161,4,2024-05-08,1,6,0.0998,Southwest5
SO69621,2024-05-01,20190501,485,17416,4,2024-05-08,2,1,0.5495,Southwest5
SO69622,2024-05-01,20190501,485,17003,4,2024-05-08,2,3,0.5495,Southwest5
SO69583,2024-05-01,20190501,480,11049,4,2024-05-08,2,1,0.0573,Southwest5
SO69620,2024-05-01,20190501,480,17415,4,2024-05-08,2,2,0.0573,Southwest5
SO69601,2024-05-01,20190501,487,18076,4,2024-05-08,2,1,1.3748,Southwest5
SO69619,2024-05-01,20190501,487,13402,4,2024-05-08,2,4,1.3748,Southwest5
SO69641,2024-05-01,20190501,479,18564,4,2024-05-08,2,3,0.2248,Southwest5
SO69616,2024-05-01,20190501,376,20644,4,2024-05-08,1,6,61.0838,Southwest5
SO69591,2024-05-01,20190501,528,26063,1,2024-05-08,2,2,0.1248,Northwest5
SO69600,2024-05-01,20190501,478,21454,4,2024-05-08,1,6,0.2498,Southwest5
SO69591,2024-05-01,20190501,535,26063,1,2024-05-08,1,2,0.6248,Northwest5
SO69575,2024-05-01,20190501,536,22450,8,2024-05-08,2,1,0.7498,Germany5
SO69576,2024-05-01,20190501,536,14800,8,2024-05-08,2,8,0.7498,Germany5
SO69608,2024-05-01,20190501,471,22551,8,2024-05-08,2,5,1.5875,Germany5
SO69613,2024-05-01,20190501,465,14142,8,2024-05-08,2,1,0.6123,Germany5
SO69646,2024-05-01,20190501,228,28700,8,2024-05-08,2,6,1.2498,Germany5
SO69642,2024-05-01,20190501,479,12330,8,2024-05-08,2,5,0.2248,Germany5
SO69651,2024-05-01,20190501,477,25449,8,2024-05-08,2,5,0.1248,Germany5
SO69657,2024-05-01,20190501,477,19257,8,2024-05-08,2,8,0.1248,Germany5
SO69652,2024-05-01,20190501,222,19284,8,2024-05-08,2,8,0.8748,Germany5
SO69643,2024-05-01,20190501,217,21016,8,2024-05-08,2,4,0.8748,Germany5
SO69645,2024-05-01,20190501,214,21042,8,2024-05-08,2,7,0.8748,Germany5
SO69606,2024-05-01,20190501,480,16419,8,2024-05-08,2,4,0.0573,Germany5
SO69651,2024-05-01,20190501,479,25449,8,2024-05-08,3,7,0.2248,Germany5
SO69576,2024-05-01,20190501,528,14800,8,2024-05-08,3,6,0.1248,Germany5
SO69577,2024-05-01,20190501,477,12850,8,2024-05-08,3,6,0.1248,Germany5
SO69576,2024-05-01,20190501,484,14800,8,2024-05-08,4,1,0.1988,Germany5
SO69651,2024-05-01,20190501,487,25449,8,2024-05-08,4,5,1.3748,Germany5
SO69657,2024-05-01,20190501,463,19257,8,2024-05-08,4,6,0.6123,Germany5
SO69579,2024-05-01,20190501,222,12819,7,2024-05-08,4,3,0.8748,France5
SO69650,2024-05-01,20190501,217,24023,7,2024-05-08,4,7,0.8748,France5
SO69607,2024-05-01,20190501,225,23595,7,2024-05-08,3,1,0.2248,France5
SO69624,2024-05-01,20190501,225,11241,7,2024-05-08,3,1,0.2248,France5
SO69581,2024-05-01,20190501,217,15665,7,2024-05-08,3,5,0.8748,France5
SO69594,2024-05-01,20190501,528,26043,1,2024-05-08,2,2,0.1248,Northwest5
SO69657,2024-05-01,20190501,479,19257,8,2024-05-08,3,8,0.2248,Germany5
SO69580,2024-05-01,20190501,480,20549,8,2024-05-08,2,8,0.0573,Germany5
SO69642,2024-05-01,20190501,477,12330,8,2024-05-08,3,2,0.1248,Germany5
SO69608,2024-05-01,20190501,529,22551,8,2024-05-08,1,7,0.0998,Germany5
SO69594,2024-05-01,20190501,535,26043,1,2024-05-08,1,8,0.6248,Northwest5
SO69577,2024-05-01,20190501,478,12850,8,2024-05-08,2,1,0.2498,Germany5
SO69593,2024-05-01,20190501,540,24949,1,2024-05-08,1,8,0.815,Northwest5
SO69592,2024-05-01,20190501,529,25424,1,2024-05-08,1,5,0.0998,Northwest5
SO69614,2024-05-01,20190501,537,11219,1,2024-05-08,1,3,0.875,Northwest5
SO69605,2024-05-01,20190501,485,13888,1,2024-05-08,1,2,0.5495,Northwest5
SO69596,2024-05-01,20190501,528,22773,1,2024-05-08,1,7,0.1248,Northwest5
SO69604,2024-05-01,20190501,528,14625,1,2024-05-08,1,3,0.1248,Northwest5
SO69602,2024-05-01,20190501,477,17527,1,2024-05-08,1,3,0.1248,Northwest5
SO69585,2024-05-01,20190501,530,29039,1,2024-05-08,1,6,0.1248,Northwest5
SO69586,2024-05-01,20190501,530,28576,1,2024-05-08,1,2,0.1248,Northwest5
SO69650,2024-05-01,20190501,477,24023,7,2024-05-08,3,5,0.1248,France5
SO69615,2024-05-01,20190501,485,13272,1,2024-05-08,1,5,0.5495,Northwest5
SO69580,2024-05-01,20190501,353,20549,8,2024-05-08,1,8,57.9998,Germany5
SO69651,2024-05-01,20190501,584,25449,8,2024-05-08,1,1,13.4998,Germany5
SO69612,2024-05-01,20190501,541,28432,8,2024-05-08,1,5,0.7248,Germany5
SO69575,2024-05-01,20190501,588,22450,8,2024-05-08,1,4,19.2373,Germany5
SO69606,2024-05-01,20190501,535,16419,8,2024-05-08,1,8,0.6248,Germany5
SO69576,2024-05-01,20190501,590,14800,8,2024-05-08,1,7,19.2373,Germany5
SO69645,2024-05-01,20190501,388,21042,8,2024-05-08,1,6,28.0123,Germany5
SO69646,2024-05-01,20190501,388,28700,8,2024-05-08,1,2,28.0123,Germany5
SO69643,2024-05-01,20190501,390,21016,8,2024-05-08,1,4,28.0123,Germany5
SO69642,2024-05-01,20190501,390,12330,8,2024-05-08,1,8,28.0123,Germany5
SO69657,2024-05-01,20190501,583,19257,8,2024-05-08,1,4,42.5248,Germany5
SO69652,2024-05-01,20190501,581,19284,8,2024-05-08,1,1,42.5248,Germany5
SO69685,2024-05-02,20190502,465,23010,6,2024-05-09,2,1,0.6123,Canada5
SO69674,2024-05-02,20190502,540,11330,6,2024-05-09,2,6,0.815,Canada5
SO69702,2024-05-02,20190502,483,19997,6,2024-05-09,2,7,3,Canada5
SO69706,2024-05-02,20190502,463,13710,6,2024-05-09,2,2,0.6123,Canada5
SO69678,2024-05-02,20190502,536,17491,6,2024-05-09,2,3,0.7498,Canada5
SO69693,2024-05-02,20190502,483,21461,6,2024-05-09,2,3,3,Canada5
SO69677,2024-05-02,20190502,529,11868,6,2024-05-09,2,2,0.0998,Canada5
SO69685,2024-05-02,20190502,222,23010,6,2024-05-09,3,7,0.8748,Canada5
SO69674,2024-05-02,20190502,465,11330,6,2024-05-09,3,3,0.6123,Canada5
SO69671,2024-05-02,20190502,222,11185,6,2024-05-09,3,2,0.8748,Canada5
SO69677,2024-05-02,20190502,222,11868,6,2024-05-09,3,7,0.8748,Canada5
SO69678,2024-05-02,20190502,214,17491,6,2024-05-09,3,2,0.8748,Canada5
SO69660,2024-05-02,20190502,484,11287,6,2024-05-09,1,3,0.1988,Canada5
SO69671,2024-05-02,20190502,535,11185,6,2024-05-09,2,6,0.6248,Canada5
SO69670,2024-05-02,20190502,480,11215,6,2024-05-09,1,4,0.0573,Canada5
SO69706,2024-05-02,20190502,361,13710,6,2024-05-09,1,6,57.3748,Canada5
SO69706,2024-05-02,20190502,485,13710,6,2024-05-09,3,7,0.5495,Canada5
SO69694,2024-05-02,20190502,214,18883,6,2024-05-09,2,6,0.8748,Canada5
SO69717,2024-05-02,20190502,539,28553,7,2024-05-09,2,6,0.6248,France5
SO69698,2024-05-02,20190502,541,12746,10,2024-05-09,1,5,0.7248,United Kingdom5
SO69697,2024-05-02,20190502,222,24041,8,2024-05-09,3,3,0.8748,Germany5
SO69677,2024-05-02,20190502,540,11868,6,2024-05-09,1,4,0.815,Canada5
SO69720,2024-05-02,20190502,225,20970,8,2024-05-09,3,7,0.2248,Germany5
SO69696,2024-05-02,20190502,480,16421,7,2024-05-09,3,6,0.0573,France5
SO69699,2024-05-02,20190502,480,22379,7,2024-05-09,3,8,0.0573,France5
SO69696,2024-05-02,20190502,529,16421,7,2024-05-09,2,1,0.0998,France5
SO69699,2024-05-02,20190502,538,22379,7,2024-05-09,2,5,0.5373,France5
SO69689,2024-05-02,20190502,528,17709,10,2024-05-09,1,6,0.1248,United Kingdom5
SO69696,2024-05-02,20190502,539,16421,7,2024-05-09,1,1,0.6248,France5
SO69699,2024-05-02,20190502,529,22379,7,2024-05-09,1,4,0.0998,France5
SO69719,2024-05-02,20190502,225,25447,10,2024-05-09,3,5,0.2248,United Kingdom5
SO69689,2024-05-02,20190502,535,17709,10,2024-05-09,2,1,0.6248,United Kingdom5
SO69698,2024-05-02,20190502,530,12746,10,2024-05-09,2,5,0.1248,United Kingdom5
SO69719,2024-05-02,20190502,222,25447,10,2024-05-09,2,8,0.8748,United Kingdom5
SO69719,2024-05-02,20190502,384,25447,10,2024-05-09,1,5,28.0123,United Kingdom5
SO69695,2024-05-02,20190502,539,21854,10,2024-05-09,1,3,0.6248,United Kingdom5
SO69717,2024-05-02,20190502,386,28553,7,2024-05-09,1,4,28.0123,France5
SO69683,2024-05-02,20190502,475,15162,6,2024-05-09,1,5,1.7498,Canada5
SO69666,2024-05-02,20190502,529,13125,9,2024-05-09,1,6,0.0998,Australia5
SO69693,2024-05-02,20190502,485,21461,6,2024-05-09,1,5,0.5495,Canada5
SO69709,2024-05-02,20190502,357,15785,9,2024-05-09,1,3,57.9998,Australia5
SO69710,2024-05-02,20190502,363,15719,9,2024-05-09,1,3,57.3748,Australia5
SO69665,2024-05-02,20190502,529,16492,9,2024-05-09,1,4,0.0998,Australia5
SO69667,2024-05-02,20190502,529,16695,9,2024-05-09,1,4,0.0998,Australia5
SO69668,2024-05-02,20190502,529,16665,9,2024-05-09,1,3,0.0998,Australia5
SO69661,2024-05-02,20190502,535,13124,9,2024-05-09,1,1,0.6248,Australia5
SO69707,2024-05-02,20190502,386,26439,9,2024-05-09,1,2,28.0123,Australia5
SO69708,2024-05-02,20190502,588,17326,9,2024-05-09,1,3,19.2373,Australia5
SO69721,2024-05-02,20190502,576,13128,9,2024-05-09,1,4,59.6018,Australia5
SO69663,2024-05-02,20190502,530,27971,9,2024-05-09,1,3,0.1248,Australia5
SO69702,2024-05-02,20190502,353,19997,6,2024-05-09,1,4,57.9998,Canada5
SO69698,2024-05-02,20190502,480,12746,10,2024-05-09,3,6,0.0573,United Kingdom5
SO69686,2024-05-02,20190502,480,16120,4,2024-05-09,2,3,0.0573,Southwest5
SO69687,2024-05-02,20190502,480,15316,4,2024-05-09,2,8,0.0573,Southwest5
SO69690,2024-05-02,20190502,480,14389,4,2024-05-09,2,2,0.0573,Southwest5
SO69718,2024-05-02,20190502,222,28701,8,2024-05-09,2,7,0.8748,Germany5
SO69662,2024-05-02,20190502,477,28721,9,2024-05-09,1,4,0.1248,Australia5
SO69664,2024-05-02,20190502,222,18265,9,2024-05-09,1,8,0.8748,Australia5
SO69668,2024-05-02,20190502,480,16665,9,2024-05-09,3,3,0.0573,Australia5
SO69667,2024-05-02,20190502,480,16695,9,2024-05-09,3,8,0.0573,Australia5
SO69694,2024-05-02,20190502,485,18883,6,2024-05-09,1,5,0.5495,Canada5
SO69671,2024-05-02,20190502,528,11185,6,2024-05-09,1,8,0.1248,Canada5
SO69678,2024-05-02,20190502,528,17491,6,2024-05-09,1,4,0.1248,Canada5
SO69685,2024-05-02,20190502,528,23010,6,2024-05-09,1,2,0.1248,Canada5
SO69663,2024-05-02,20190502,489,27971,9,2024-05-09,2,7,1.3498,Australia5
SO69721,2024-05-02,20190502,491,13128,9,2024-05-09,2,2,1.3498,Australia5
SO69708,2024-05-02,20190502,483,17326,9,2024-05-09,2,2,3,Australia5
SO69709,2024-05-02,20190502,487,15785,9,2024-05-09,2,3,1.3748,Australia5
SO69667,2024-05-02,20190502,540,16695,9,2024-05-09,2,4,0.815,Australia5
SO69668,2024-05-02,20190502,540,16665,9,2024-05-09,2,5,0.815,Australia5
SO69710,2024-05-02,20190502,485,15719,9,2024-05-09,2,8,0.5495,Australia5
SO69666,2024-05-02,20190502,480,13125,9,2024-05-09,2,5,0.0573,Australia5
SO69662,2024-05-02,20190502,222,28721,9,2024-05-09,2,5,0.8748,Australia5
SO69665,2024-05-02,20190502,222,16492,9,2024-05-09,2,3,0.8748,Australia5
SO69707,2024-05-02,20190502,222,26439,9,2024-05-09,2,7,0.8748,Australia5
SO69710,2024-05-02,20190502,472,15719,9,2024-05-09,3,1,1.5875,Australia5
SO69709,2024-05-02,20190502,484,15785,9,2024-05-09,3,4,0.1988,Australia5
SO69674,2024-05-02,20190502,529,11330,6,2024-05-09,1,2,0.0998,Canada5
SO69720,2024-05-02,20190502,228,20970,8,2024-05-09,2,8,1.2498,Germany5
SO69681,2024-05-02,20190502,476,20381,1,2024-05-09,1,5,1.7498,Northwest5
SO69669,2024-05-02,20190502,484,14803,8,2024-05-09,2,6,0.1988,Germany5
SO69679,2024-05-02,20190502,478,21420,4,2024-05-09,1,3,0.2498,Southwest5
SO69680,2024-05-02,20190502,478,23006,4,2024-05-09,1,1,0.2498,Southwest5
SO69705,2024-05-02,20190502,485,15289,4,2024-05-09,2,1,0.5495,Southwest5
SO69691,2024-05-02,20190502,480,14499,4,2024-05-09,2,8,0.0573,Southwest5
SO69688,2024-05-02,20190502,478,14615,4,2024-05-09,2,3,0.2498,Southwest5
SO69672,2024-05-02,20190502,529,28033,4,2024-05-09,2,5,0.0998,Southwest5
SO69673,2024-05-02,20190502,529,24983,4,2024-05-09,2,5,0.0998,Southwest5
SO69676,2024-05-02,20190502,536,23550,4,2024-05-09,1,4,0.7498,Southwest5
SO69711,2024-05-02,20190502,529,23739,4,2024-05-09,2,2,0.0998,Southwest5
SO69716,2024-05-02,20190502,488,14354,4,2024-05-09,2,4,1.3498,Southwest5
SO69682,2024-05-02,20190502,231,20292,4,2024-05-09,2,5,1.2498,Southwest5
SO69692,2024-05-02,20190502,214,14595,4,2024-05-09,2,2,0.8748,Southwest5
SO69715,2024-05-02,20190502,214,18801,4,2024-05-09,2,2,0.8748,Southwest5
